Price,Close,High,Low,Open,Volume,Stock Name
Ticker,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS,
Date,,,,,,
2022-01-03,741.3753662109375,744.8335337112283,725.9950728221195,726.4545244378343,1331416,Cdsl
2022-01-04,742.3668212890625,753.4909574660533,733.7093295867369,744.3498076690759,1081688,Cdsl
2022-01-05,738.8119506835938,746.090969629071,730.928300075757,742.8988379926304,752214,Cdsl
2022-01-06,748.992919921875,756.9249245494942,727.905438624274,732.1374469883687,1399630,Cdsl
2022-01-07,749.6942749023438,765.1471278570422,745.3413519246488,755.9576237930196,1161966,Cdsl
2022-01-10,749.041259765625,759.3432006904733,742.4393740746597,759.3432006904733,815906,Cdsl
2022-01-11,742.3668212890625,752.8138243254818,738.4492025304421,750.1537048048971,785306,Cdsl
2022-01-12,743.6485595703125,749.5975189705214,740.0211237017837,749.4040439161404,558532,Cdsl
2022-01-13,778.0123901367188,785.8234800819205,744.857663560824,748.7027217521545,3236260,Cdsl
2022-01-14,781.349609375,798.0358127321264,771.67644800855,777.2385157942588,2238770,Cdsl
2022-01-17,791.3130493164062,799.9705415927307,783.9372628839461,784.4451275331202,1413466,Cdsl
2022-01-18,770.1287841796875,796.3913824919947,766.8398856205117,795.1096767723029,1405694,Cdsl
2022-01-19,780.2614135742188,790.6842690282565,752.0883298359896,768.04904680357,1533442,Cdsl
2022-01-20,785.823486328125,795.133904615133,776.5372745618763,780.5274538277368,1340166,Cdsl
2022-01-21,765.6791381835938,788.8463733411573,759.3432287833335,782.9941220484023,1357108,Cdsl
2022-01-24,726.5511474609375,766.1144022008087,720.6505424742455,763.6961117898213,1806968,Cdsl
2022-01-25,730.3720703125,753.0556465543408,692.308202224169,714.8466574228104,1838792,Cdsl
2022-01-27,719.3447265625,743.3825108778244,716.2976568705648,723.0688703723797,1224368,Cdsl
2022-01-28,724.9067993164062,734.7733775340528,723.0688748811916,723.0688748811916,959332,Cdsl
2022-01-31,728.0263671875,736.8047736572123,723.9152732688195,728.8727688766401,780948,Cdsl
2022-02-01,731.3636474609375,739.4407145536783,722.6094471833462,734.6766938178893,700614,Cdsl
2022-02-02,740.456298828125,747.2033643304196,733.4916698506865,737.5543504074284,897654,Cdsl
2022-02-03,757.3359985351562,771.3862894824167,740.9641842103683,744.1805222749538,1864420,Cdsl
2022-02-04,761.253662109375,767.0817659777205,750.6857441654714,762.1968308523782,1094970,Cdsl
2022-02-07,732.7177734375,743.8661156265638,725.4871088685602,737.5785606830362,1670890,Cdsl
2022-02-08,727.5910034179688,741.5929399228719,716.9021719139686,736.4177631666143,865926,Cdsl
2022-02-09,730.73486328125,748.2191162346771,728.5100477236474,735.1845534367534,1645866,Cdsl
2022-02-10,736.5145874023438,743.8661669971201,731.411970768137,733.7093467715417,973602,Cdsl
2022-02-11,734.9426879882812,745.3171305962313,730.3237295264823,733.2256781206273,1183856,Cdsl
2022-02-14,706.0924682617188,727.3492180281189,702.2715574838783,715.8139842122175,1230744,Cdsl
2022-02-15,720.72314453125,722.5852164469663,704.2062082642456,704.2062082642456,920098,Cdsl
2022-02-16,717.531005859375,732.7420296576008,715.8139959691414,729.8400810252936,855690,Cdsl
2022-02-17,715.1610717773438,729.8400835178375,713.3957078786019,723.0688700193288,936594,Cdsl
2022-02-18,710.0584716796875,719.1029139162227,704.2062202562221,704.2062202562221,455906,Cdsl
2022-02-21,681.208251953125,716.9505986431947,677.1213644765108,713.8793814052357,1535290,Cdsl
2022-02-22,665.1024780273438,671.4625941373222,645.6835926282546,645.6835926282546,1397364,Cdsl
2022-02-23,669.1409912109375,685.101708746146,665.513555407481,665.513555407481,969498,Cdsl
2022-02-24,625.1039428710938,655.3567833109017,620.0013848901597,638.4287483176312,2388482,Cdsl
2022-02-25,660.8704223632812,666.8677944544817,644.716230437728,651.4874436606299,1327760,Cdsl
2022-02-28,654.5828857421875,672.2364064297859,644.2325905720844,655.3567268957765,1292140,Cdsl
2022-03-02,676.0573120117188,687.7860208710644,653.4946499649598,654.5828806838681,1688406,Cdsl
2022-03-03,671.4625244140625,693.8558577048228,669.866429161676,689.2127520255511,1150084,Cdsl
2022-03-04,655.5260009765625,679.3461626540942,649.5528351862965,666.4808688657606,1247636,Cdsl
2022-03-07,641.113037109375,651.5600405715462,633.5921298149187,645.1999245596195,908888,Cdsl
2022-03-08,643.4103393554688,653.9056956172327,635.3332143478568,641.330586086132,816404,Cdsl
2022-03-09,658.1860961914062,661.1606052358958,646.4573875762121,650.0364692297321,1140952,Cdsl
2022-03-10,709.3330078125,724.4715310291405,673.2521228090955,679.7573010979917,5200708,Cdsl
2022-03-11,734.6282958984375,759.3432128658201,710.9774031291437,715.8139841028113,10623486,Cdsl
2022-03-14,760.8184204101562,768.0974396070964,737.5786243990382,737.5786243990382,5412590,Cdsl
2022-03-15,745.6315307617188,776.9000391159163,737.6269654930313,770.8058997493972,4678254,Cdsl
2022-03-16,748.3157958984375,766.8157184013019,743.213238318557,758.859566195927,2443868,Cdsl
2022-03-17,741.7864379882812,764.1314786456369,739.9969265532586,759.343251430468,1908558,Cdsl
2022-03-21,721.7630004882812,746.4053568705796,720.6505632510375,743.8661518658361,2097088,Cdsl
2022-03-22,717.1198120117188,730.0818721792799,713.3956684096972,723.0688300152524,1256302,Cdsl
2022-03-23,711.9205322265625,725.0035077334006,709.0427900848334,720.60223073534,876492,Cdsl
2022-03-24,723.8427124023438,725.9708198849492,706.9872391517818,708.5591280022988,1428880,Cdsl
2022-03-25,712.5009155273438,727.4217555536129,710.9773807605126,727.4217555536129,941192,Cdsl
2022-03-28,711.4610595703125,715.9832509621056,701.3042395492542,713.3956919552759,1193552,Cdsl
2022-03-29,702.610107421875,719.6832621907719,701.3042541509537,714.8466811276618,945258,Cdsl
2022-03-30,702.6343383789062,712.4284153723138,701.3042785402954,708.5591503872639,1080760,Cdsl
2022-03-31,715.9832763671875,719.6590662209863,698.8859738664719,705.3670043941236,1477470,Cdsl
2022-04-01,723.7943115234375,737.0949086279444,713.2263943593697,718.1838896437768,1634250,Cdsl
2022-04-04,731.3878173828125,736.0309827697876,726.9381861006453,727.8329418536539,933408,Cdsl
2022-04-05,735.8132934570312,744.3498713662046,730.8800040855389,735.0636587703485,1300634,Cdsl
2022-04-06,726.9139404296875,736.5871027311055,723.5525401460636,735.0152138571251,1258026,Cdsl
2022-04-07,707.204833984375,726.8413996262533,705.6571517159887,725.9707914501022,1491574,Cdsl
2022-04-08,706.1651000976562,714.6291176576212,699.2004109831106,710.6389379507806,1541542,Cdsl
2022-04-11,700.820556640625,717.5309668902366,698.8859243241567,706.1650020309856,1172246,Cdsl
2022-04-12,690.2042846679688,704.8107350252694,686.7944715977922,703.5773833087478,1096172,Cdsl
2022-04-13,694.3637084960938,705.1492478541734,689.6963963898852,694.871514037003,1045946,Cdsl
2022-04-18,691.3167114257812,698.8859726959105,682.9252549803638,691.6311010070256,731790,Cdsl
2022-04-19,679.1526489257812,700.8205544176119,675.1866763057186,694.0493413314514,722670,Cdsl
2022-04-20,686.0447998046875,698.4022877222624,679.9990736298064,684.3762029965383,846970,Cdsl
2022-04-21,699.9500122070312,703.4323861178925,686.8912428819725,689.4788610730653,1104738,Cdsl
2022-04-22,691.171630859375,699.103576460692,689.2127919398489,696.4676634339526,626430,Cdsl
2022-04-25,675.0173950195312,686.310799109433,672.7683731932497,685.3434829725627,791878,Cdsl
2022-04-26,680.6036987304688,689.1886305608069,678.0887000638978,681.4743069829044,572944,Cdsl
2022-04-27,673.7357177734375,679.9749189277112,668.7298683618588,677.1213243954146,518228,Cdsl
2022-04-28,676.758544921875,683.3121352942475,667.9801392668759,679.5395787852309,861086,Cdsl
2022-04-29,667.2063598632812,695.7421882300326,664.5462402697705,679.5396416150128,1886306,Cdsl
2022-05-02,626.2646484375,658.2586420003902,623.9189185749473,658.2586420003902,3464312,Cdsl
2022-05-04,614.5359497070312,637.8240982591097,605.0562630689261,625.853560680408,1795614,Cdsl
2022-05-05,595.0687255859375,628.2235116260473,590.5948882056031,623.4352846757926,1625804,Cdsl
2022-05-06,589.3131713867188,594.8994458972371,575.5531224534245,585.2262841753309,1716016,Cdsl
2022-05-09,572.2642211914062,584.7184168504612,568.2982485199799,584.7184168504612,1390090,Cdsl
2022-05-10,555.6022338867188,570.716549280808,551.6120546226792,565.8799683546994,1990526,Cdsl
2022-05-11,529.6055908203125,560.0034889511186,510.5736574240063,555.7231268059718,2816148,Cdsl
2022-05-12,519.6181030273438,527.6226687391734,514.1285950295844,519.4004804837614,1427040,Cdsl
2022-05-13,526.6311645507812,544.0912119488138,522.3508017335251,535.4095717768633,1639412,Cdsl
2022-05-16,535.0950927734375,543.631669498442,523.3905911209933,536.3767984642101,853906,Cdsl
2022-05-17,558.1656494140625,564.4289981423693,534.4905501860561,541.2134095298296,1464676,Cdsl
